industry_code,industry_name,indicator_id,indicator_name,unit,1981,1986,1991,1996,2001,2006,2011,2016,2021,change_2016_to_2021_pct
E,Water Supply and Remediation,2,Number of employees (year-end),persons,18177.0,21918.0,23084.0,26134.0,25220.0,27809.0,29978.0,35742.0,43283.0,21.1
E,Water Supply and Remediation,3,Average annual labour compensation per employed worker,NTD,150182.0,184442.0,404588.0,603265.0,738986.0,723943.0,702408.0,672219.0,688542.0,2.43
E,Water Supply and Remediation,4,Total annual receipts of enterprises,million NTD,15149.0,25764.0,29564.0,51751.0,65137.0,90399.0,125386.0,155978.0,223034.0,42.99
E,Water Supply and Remediation,5,Total annual expenditures of enterprises,million NTD,15676.0,23540.0,27483.0,48525.0,60024.0,83204.0,113291.0,139092.0,206322.0,48.33
E,Water Supply and Remediation,6,Total annual output of enterprises,million NTD,13165.0,24861.0,27819.0,49510.0,62279.0,86121.0,120696.0,149434.0,211071.0,41.25
E,Water Supply and Remediation,7,Gross value added of enterprises,million NTD,5161.0,9864.0,17031.0,30282.0,35138.0,39364.0,46480.0,56116.0,65326.0,16.41
E,Water Supply and Remediation,8,Net assets in actual use (year-end),million NTD,61912.0,73239.0,145401.0,287163.0,368110.0,443941.0,510894.0,640830.0,767998.0,19.84
E,Water Supply and Remediation,9,Net fixed assets in actual use (year-end),million NTD,39305.0,62000.0,128688.0,261260.0,324611.0,397098.0,449234.0,530147.0,635121.0,19.8
E,Water Supply and Remediation,10(1),Average number of employees per enterprise,persons,33.3,24.5,21.8,13.0,8.4,6.9,6.0,6.7,7.1,6.05
E,Water Supply and Remediation,10(2),Average assets in actual use per enterprise,thousand NTD,113392.0,81923.0,137430.0,143081.0,123196.0,110764.0,102117.0,120775.0,126753.0,4.95
E,Water Supply and Remediation,11,Labour equipment ratio,thousand NTD,3406.0,3342.0,6299.0,10988.0,14596.0,15964.0,17042.0,17929.0,17744.0,-1.03
E,Water Supply and Remediation,12,Labour productivity,thousand NTD,284.0,450.0,738.0,1159.0,1393.0,1415.0,1550.0,1570.0,1509.0,-3.89
E,Water Supply and Remediation,13(1),Gross value added per NTD of assets in actual use,NTD,0.08,0.13,0.12,0.11,0.1,0.09,0.09,0.09,0.09,-2.87
E,Water Supply and Remediation,13(2),Gross value added per NTD of fixed assets in actual use,NTD,0.13,0.16,0.13,0.12,0.11,0.1,0.1,0.11,0.1,-2.82
E,Water Supply and Remediation,14,Labour compensation as % of total expenditures,%,17.41,17.17,33.98,32.49,29.62,23.12,17.58,16.15,13.36,-2.79
E,Water Supply and Remediation,15(1),Value-added ratio,%,39.2,39.68,61.22,61.16,56.42,45.71,38.51,37.55,30.95,-6.6
E,Water Supply and Remediation,15(2),Profit ratio,%,-3.48,8.63,7.04,6.23,7.85,7.96,9.65,10.83,7.49,-3.34
E,Water Supply and Remediation,15(3),Asset turnover ratio,%,23.67,34.46,20.07,17.65,17.21,19.92,24.05,23.57,28.12,4.55
C,Manufacturing,1,Number of enterprises (year-end),establishments,91174.0,113258.0,140457.0,154557.0,141376.0,148017.0,157243.0,161337.0,165610.0,2.65
C,Manufacturing,2,Number of employees (year-end),persons,2196561.0,2748256.0,2665071.0,2523916.0,2426791.0,2695984.0,2789018.0,2964970.0,3117210.0,5.13
C,Manufacturing,3,Average annual labour compensation per employed worker,NTD,119977.0,171457.0,282385.0,422139.0,488353.0,560194.0,629146.0,708863.0,882008.0,24.43
C,Manufacturing,4,Total annual receipts of enterprises,million NTD,2126323.0,3513480.0,5313884.0,7963548.0,10571633.0,20506965.0,27358534.0,27150651.0,34454737.0,26.9
C,Manufacturing,5,Total annual expenditures of enterprises,million NTD,2066685.0,3281782.0,4937103.0,7437926.0,10194000.0,18841001.0,26037048.0,24846873.0,30408198.0,22.38
C,Manufacturing,6,Total annual output of enterprises,million NTD,2040079.0,3342677.0,4947395.0,7243853.0,7922983.0,13141877.0,22456293.0,17959478.0,22586712.0,25.76
C,Manufacturing,7,Gross value added of enterprises,million NTD,536461.0,944621.0,1610722.0,2272141.0,2238779.0,3334521.0,4302351.0,5582931.0,7900571.0,41.51
C,Manufacturing,8,Net assets in actual use (year-end),million NTD,2051477.0,2984620.0,6003652.0,10093269.0,16111047.0,21993595.0,27082870.0,34369929.0,44907428.0,30.66
C,Manufacturing,9,Net fixed assets in actual use (year-end),million NTD,979389.0,1425177.0,3373922.0,5236258.0,7567116.0,8719436.0,9359551.0,11083208.0,13836099.0,24.84
C,Manufacturing,10(1),Average number of employees per enterprise,persons,24.1,24.3,19.0,16.3,17.2,18.2,17.7,18.4,18.8,2.42
C,Manufacturing,10(2),Average assets in actual use per enterprise,thousand NTD,22501.0,26352.0,42744.0,65305.0,113959.0,148588.0,172236.0,213032.0,271164.0,27.29
C,Manufacturing,11,Labour equipment ratio,thousand NTD,934.0,1086.0,2253.0,3999.0,6639.0,8158.0,9711.0,11592.0,14406.0,24.28
C,Manufacturing,12,Labour productivity,thousand NTD,244.0,344.0,604.0,900.0,923.0,1237.0,1543.0,1883.0,2535.0,34.63
C,Manufacturing,13(1),Gross value added per NTD of assets in actual use,NTD,0.26,0.32,0.27,0.23,0.14,0.15,0.16,0.16,0.18,8.3
C,Manufacturing,13(2),Gross value added per NTD of fixed assets in actual use,NTD,0.55,0.66,0.48,0.43,0.3,0.38,0.46,0.5,0.57,13.36
C,Manufacturing,14,Labour compensation as % of total expenditures,%,12.75,14.36,15.24,14.32,11.41,7.82,6.6,8.27,8.83,0.56
C,Manufacturing,15(1),Value-added ratio,%,26.3,28.26,32.56,31.37,28.26,25.37,19.16,31.09,34.98,3.89
C,Manufacturing,15(2),Profit ratio,%,2.8,6.59,7.09,6.6,3.57,8.12,4.83,8.49,11.74,3.25
C,Manufacturing,15(3),Asset turnover ratio,%,101.64,116.0,86.37,76.67,63.12,89.69,98.13,76.24,73.0,-3.24
F,Construction,1,Number of enterprises (year-end),establishments,12541.0,14480.0,25084.0,48236.0,55579.0,73360.0,86372.0,108669.0,144864.0,33.31
F,Construction,2,Number of employees (year-end),persons,422930.0,354460.0,453952.0,537446.0,454969.0,479357.0,508202.0,522487.0,571467.0,9.37
F,Construction,3,Average annual labour compensation per employed worker,NTD,83146.0,131703.0,256479.0,417675.0,457774.0,501455.0,542028.0,591511.0,681660.0,15.24
F,Construction,4,Total annual receipts of enterprises,million NTD,167870.0,191390.0,539867.0,978115.0,1120641.0,1495573.0,1916433.0,2264237.0,3211715.0,41.85
F,Construction,5,Total annual expenditures of enterprises,million NTD,158344.0,183068.0,501636.0,907819.0,1086608.0,1369437.0,1734544.0,2098386.0,2950866.0,40.63
F,Construction,6,Total annual output of enterprises,million NTD,172763.0,195687.0,527609.0,942694.0,855475.0,1074694.0,1399280.0,1522290.0,2133731.0,40.17
F,Construction,7,Gross value added of enterprises,million NTD,51454.0,60338.0,169765.0,326876.0,248368.0,362358.0,460065.0,494155.0,670601.0,35.71
F,Construction,8,Net assets in actual use (year-end),million NTD,174867.0,232571.0,745536.0,1442256.0,1589081.0,1798473.0,1857785.0,2335404.0,3356364.0,43.72
F,Construction,9,Net fixed assets in actual use (year-end),million NTD,41934.0,56645.0,294655.0,576740.0,593155.0,435030.0,517636.0,706640.0,928295.0,31.37
F,Construction,10(1),Average number of employees per enterprise,persons,33.7,24.5,18.1,11.1,8.2,6.5,5.9,4.8,3.9,-17.95
F,Construction,10(2),Average assets in actual use per enterprise,thousand NTD,13944.0,16062.0,29722.0,29900.0,28591.0,24516.0,21509.0,21491.0,23169.0,7.81
F,Construction,11,Labour equipment ratio,thousand NTD,413.0,656.0,1642.0,2684.0,3493.0,3752.0,3656.0,4470.0,5873.0,31.39
F,Construction,12,Labour productivity,thousand NTD,122.0,170.0,374.0,608.0,546.0,756.0,905.0,946.0,1173.0,24.0
F,Construction,13(1),Gross value added per NTD of assets in actual use,NTD,0.29,0.26,0.23,0.23,0.16,0.2,0.25,0.21,0.2,-5.57
F,Construction,13(2),Gross value added per NTD of fixed assets in actual use,NTD,1.23,1.07,0.58,0.57,0.42,0.83,0.89,0.7,0.72,3.3
F,Construction,14,Labour compensation as % of total expenditures,%,22.21,25.5,23.21,24.73,17.8,16.1,14.43,13.3,11.55,-1.75
F,Construction,15(1),Value-added ratio,%,29.78,30.83,32.18,34.67,29.03,33.72,32.88,32.46,31.43,-1.03
F,Construction,15(2),Profit ratio,%,5.67,4.35,7.08,7.19,3.04,8.43,9.49,7.32,8.12,0.8
F,Construction,15(3),Asset turnover ratio,%,95.28,81.27,71.42,66.92,69.46,82.09,101.93,96.18,94.94,-1.24
G,Wholesale and Retail Trade,1,Number of enterprises (year-end),establishments,293782.0,323867.0,371763.0,413153.0,438163.0,490017.0,495699.0,509935.0,547188.0,7.31
