industry_code,industry_name,year,enterprises,employees,labor_compensation,revenue,expenditure,gross_output,value_added,assets,fixed_assets,avg_employees_per_firm,avg_assets_per_firm,capital_labor_ratio,labor_productivity,capital_productivity_assets,capital_productivity_fixed,labor_cost_ratio,value_added_rate,profit_rate,asset_turnover
K,Finance and Insurance,1996,4508,326528,735801,2661343,2374780,1203201,632940,27617222,812293,72.4,6126269,84578,1938,0.02,0.78,10.12,52.6,10.77,9.48
K,Finance and Insurance,2001,6483,370555,894082,3884875,3607990,1477491,734111,39414763,1101735,57.2,6079711,106367,1981,0.02,0.67,9.13,49.69,7.13,9.7
K,Finance and Insurance,2006,9955,376646,991113,5822444,5367978,1829431,1257109,59409831,1255693,37.8,5967838,157734,3338,0.02,1,6.91,68.72,7.81,9.57
K,Finance and Insurance,2011,13801,380119,1058715,6370032,5569533,2099498,1461939,79785779,1436820,27.5,5781159,209897,3846,0.02,1.02,7.19,69.63,12.57,7.75
K,Finance and Insurance,2016,20353,397027,1168310,8579016,7395628,2505572,1903541,110206055,1861808,19.5,5414733,277578,4794,0.02,1.02,6.24,75.97,13.79,7.64
K,Finance and Insurance,2021,33313,423765,1424607,10168188,7699241,3953004,3237218,150703076,2529449,12.7,4523852,355629,7639,0.02,1.28,7.55,81.89,24.28,6.63
P,Education,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,Education,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,Education,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,Education,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,Education,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P,Education,2006,17384,111186,353575,78368,63969,77848,57540,360620,345103,6.4,20744,3243,518,0.16,0.17,54.67,73.91,18.37,21.66
P,Education,2011,20695,124678,388977,108918,92434,106742,67970,357589,340105,6,17279,2868,545,0.19,0.2,46.87,63.68,15.13,29.88
P,Education,2016,23169,148977,435480,138586,118766,129693,84122,441168,403091,6.4,19041,2961,565,0.19,0.21,49.56,64.86,14.3,29.56
P,Education,2021,25753,172351,479420,145218,131626,129064,87788,527599,466476,6.7,20487,3061,509,0.17,0.19,56.43,68.02,9.36,24.6
Q,Health and Social Work,1981,8421,52641,130137,21274,18231,19683,11625,54171,46813,6.3,6433,1029,221,0.21,0.25,37.58,59.06,14.3,37.91
Q,Health and Social Work,1986,12067,100389,231086,59680,53485,56502,32941,123136,99575,8.3,10204,1226,328,0.27,0.33,43.37,58.3,10.38,46.64
Q,Health and Social Work,1991,13651,131122,415286,127719,112339,120628,78015,285036,220340,9.6,20880,2174,595,0.27,0.35,48.47,64.67,12.04,42.77
Q,Health and Social Work,1996,17462,188001,646637,291234,263675,280764,170538,497631,364259,10.8,28498,2647,907,0.34,0.47,46.11,60.74,9.46,56.76
Q,Health and Social Work,2001,19712,220033,830960,444648,401610,429047,239037,705369,494097,11.2,35784,3206,1086,0.34,0.48,41.14,55.71,9.68,61.31
Q,Health and Social Work,2006,24771,320403,785599,595398,526859,524246,290261,1065116,664157,12.9,42999,3324,906,0.27,0.44,45.93,55.37,11.51,51.35
Q,Health and Social Work,2011,25998,363707,813036,688443,617170,635806,353776,1300350,750111,14,50017,3575,973,0.27,0.47,46.14,55.64,10.35,48.26
Q,Health and Social Work,2016,28109,420937,895190,842365,750487,798497,471733,1618236,902374,15,57570,3844,1121,0.29,0.52,48.28,59.08,10.91,48.81
Q,Health and Social Work,2021,32556,526785,889378,1078261,984675,1018133,565132,2135270,1168799,16.2,65588,4053,1073,0.26,0.48,45.95,55.51,8.68,47.11
R,"Arts, Entertainment and Recreation",1981,2195,16645,84672,3900,3690,3569,2598,13317,11772,7.6,6067,800,156,0.2,0.22,38.19,72.79,5.38,28.55
R,"Arts, Entertainment and Recreation",1986,2643,16493,124814,5201,4722,4880,3353,23109,19983,6.2,8743,1401,203,0.15,0.17,43.6,68.71,9.21,21.81
R,"Arts, Entertainment and Recreation",1991,5643,37501,202921,23811,19985,21397,14916,217310,198131,6.6,38510,5795,398,0.07,0.08,38.08,69.71,16.07,10.25
R,"Arts, Entertainment and Recreation",1996,5650,57444,328071,57066,51929,50261,34566,280106,245862,10.2,49576,4876,602,0.12,0.14,36.29,68.77,9,19.66
